code,name,year,month,year_month,up_count
000595,*ST宝实,2023,3,2023-03,1
000595,*ST宝实,2024,3,2024-03,2
000595,*ST宝实,2025,3,2025-03,2
000603,盛达资源,2023,3,2023-03,5
000603,盛达资源,2024,3,2024-03,4
000603,盛达资源,2025,3,2025-03,1
000603,盛达资源,2023,4,2023-04,2
000603,盛达资源,2024,4,2024-04,3
000603,盛达资源,2025,4,2025-04,3
000603,盛达资源,2023,7,2023-07,2
000603,盛达资源,2024,7,2024-07,2
000603,盛达资源,2025,7,2025-07,2
000603,盛达资源,2023,9,2023-09,1
000603,盛达资源,2024,9,2024-09,2
000603,盛达资源,2025,9,2025-09,5
000607,华媒控股,2023,1,2023-01,1
000607,华媒控股,2024,1,2024-01,1
000607,华媒控股,2025,1,2025-01,3
000608,*ST阳光,2023,6,2023-06,1
000608,*ST阳光,2024,6,2024-06,1
000608,*ST阳光,2025,6,2025-06,1
000609,ST中迪,2023,6,2023-06,2
000609,ST中迪,2024,6,2024-06,6
000609,ST中迪,2025,6,2025-06,1
000609,ST中迪,2023,8,2023-08,5
000609,ST中迪,2024,8,2024-08,4
000609,ST中迪,2025,8,2025-08,2
000609,ST中迪,2023,10,2023-10,2
000609,ST中迪,2024,10,2024-10,3
000609,ST中迪,2025,10,2025-10,5
000609,ST中迪,2023,11,2023-11,4
000609,ST中迪,2024,11,2024-11,3
000609,ST中迪,2025,11,2025-11,6
000609,ST中迪,2023,12,2023-12,3
000609,ST中迪,2024,12,2024-12,3
000609,ST中迪,2025,12,2025-12,4
000610,西安旅游,2023,1,2023-01,2
000610,西安旅游,2024,1,2024-01,1
000610,西安旅游,2025,1,2025-01,1
000610,西安旅游,2023,3,2023-03,2
000610,西安旅游,2024,3,2024-03,1
000610,西安旅游,2025,3,2025-03,1
000610,西安旅游,2023,4,2023-04,4
000610,西安旅游,2024,4,2024-04,1
000610,西安旅游,2025,4,2025-04,1
000615,*ST美谷,2023,4,2023-04,1
000615,*ST美谷,2024,4,2024-04,3
000615,*ST美谷,2025,4,2025-04,1
000615,*ST美谷,2023,6,2023-06,5
000615,*ST美谷,2024,6,2024-06,2
000615,*ST美谷,2025,6,2025-06,1
000615,*ST美谷,2023,10,2023-10,1
000615,*ST美谷,2024,10,2024-10,5
000615,*ST美谷,2025,10,2025-10,1
000615,*ST美谷,2023,11,2023-11,5
000615,*ST美谷,2024,11,2024-11,5
000615,*ST美谷,2025,11,2025-11,2
000617,中油资本,2023,4,2023-04,1
000617,中油资本,2024,4,2024-04,1
000617,中油资本,2025,4,2025-04,3
000620,盈新发展,2023,12,2023-12,2
000620,盈新发展,2024,12,2024-12,4
000620,盈新发展,2025,12,2025-12,1
000622,恒立退,2023,2,2023-02,1
000622,恒立退,2024,2,2024-02,3
